1. Online mode of education is better than offline mode of education.( অফলাইন শিক্ষার চেয়ে অনলাইন শিক্ষা ব্যবস্থা ভালো।),  2. Online mode of education is effective for your child.( অনলাইন শিক্ষা পদ্ধতি আপনার সন্তানের জন্য কার্যকর। )   ,  3. Your child faces problem(s) to convert the offline mode of education to online mode of education. (আপনার সন্তান অফলাইন শিক্ষাকে অনলাইন শিক্ষায় রূপান্তরিত করতে সমস্যার সম্মুখীন হয়)     ,  4. Online mode of education effects on mental or physical health of your child( অনলাইন শিক্ষার পদ্ধতি আপনার সন্তানের মানসিক বা শারীরিক স্বাস্থ্যের উপর প্রভাব ফেলে),  5. Your child faced  problem(s) to adapt the online mode of education during covid-19 phase.( কোভিড-19 পর্যায়ে আপনার সন্তান অনলাইন শিক্ষা পদ্ধতির সঙ্গে খাপ খাইয়ে নিতে  সমস্যার সম্মুখীন হয়েছিল)  ,  6. Your child is become phone addicted during online mode of education.( অনলাইন শিক্ষার সময় আপনার সন্তান ফোনে আসক্ত হয়ে পড়েছে )   ,  7. Children follow disciplines during online mode of education. ( অনলাইন শিক্ষার সময় শিশুরা শৃঙ্খলা  পরায়ণ হয় ) ,  8. Children are getting lazy during online mode of education. ( অনলাইন শিক্ষার মাধ্যমে শিশুরা অলস হয়ে যাচ্ছে ),  9. During online mode of education as children are doing their work at their flexible time so they can be more creative or involve themselves on some extra activity. ( অনলাইন শিক্ষার সময় শিশুরা তাদের নমনীয় সময়ে তাদের কাজ করেছে যাতে তারা আরও সৃজনশীল হতে পারে বা কিছু অতিরিক্ত ক্রিয়াকলাপে নিজেকে জড়িত করতে পারে ),  10. Your child is facing problem asking doubts during online mode of education.( আপনার সন্তান অনলাইন শিক্ষার সময়  সমস্যার সম্মুখীন হচ্ছে)   ,  11. Economic status of student’s guardian effects on  Online education .(  শিক্ষার্থীদের অভিভাবকদের অর্থনৈতিক অবস্থা অনলাইন শিক্ষার  ওপর প্রভাব ফেলে) ,  12. Your child is facing problem to study from online study materials (like:- PDF). ( আপনার সন্তান অনলাইন অধ্যয়নের উপকরণ থেকে পড়াশোনা করতে সমস্যার সম্মুখীন হচ্ছে (like:- PDF).  ,  13. Your child is being addicted to gaming during online mode of education.(  অনলাইন শিক্ষার সময় আপনার সন্তান গেমিং-এ আসক্ত হচ্ছে )  ,"  14. Your child is being addicted to social-media platforms (like:-Facebook, Instagram, YouTube). ( আপনার সন্তান সোশ্যাল মিডিয়া প্ল্যাটফর্মে আসক্ত হচ্ছে (like:-Facebook, Instagram, YouTube).   ",  15. Your child is being addicted to OTT platforms and cartoons. ( আপনার সন্তান ওটিটি প্ল্যাটফর্ম এবং কার্টুনে আসক্ত হচ্ছে )  ,  16. Online class records are helpful for your child’s studies. ( অনলাইন ক্লাসের রেকর্ড আপনার সন্তানের পড়াশোনার জন্য সহায়ক)  ,  17. Exams should be conducted through online mode.( অনলাইন পদ্ধতিতে পরীক্ষা নেওয়া উচিত)  ,  18. Your child is attentive in online classes.( আপনার সন্তান অনলাইন ক্লাসে বেশি মনোযোগী ) ,  19. In online mode of education teacher student interaction is better than offline mode of education. ( অনলাইন শিক্ষা পদ্ধতিতে অফলাইন শিক্ষা পদ্ধতির তুলনায় শিক্ষকদের সাথে যোগাযোগ ভালো হয় )  ,  20. Your child is not getting bored during online classes.(  অনলাইন ক্লাসের সময় আপনার সন্তান বিরক্ত হচ্ছে না )   ,  21. Group study is helpful in offline mode of education.(  অফলাইন শিক্ষা পদ্ধতিতে দলগত অধ্যয়ন সহায়ক ) ,"  23. According to your location, please rate your internet connection.(  আপনার অবস্থান অনুযায়ী, দয়া করে আপনার ইন্টারনেট সংযোগের মূল্যায়ন করুন ) ",  24. Your child faced any problem to adapt offline mode of education after pandemic phase. (  মহামারী পর্বের পর আপনার সন্তান অফলাইন শিক্ষা পদ্ধতির সঙ্গে মানিয়ে নিতে  সমস্যার সম্মুখীন হয়েছিল) ,  25. Proper school environment is better for your child education in compare to online mode of education.( অনলাইন শিক্ষার তুলনায় বিদ্যালয়ের উপযুক্ত পরিবেশ আপনার সন্তানের শিক্ষার জন্য ভালো )  ,  26. Your child is being distracted during online mode of education.( অনলাইন শিক্ষার সময় আপনার সন্তান অমনোযোগী হয়ে পড়ছে ) ,  27. Online mode of education can be brought in Indian education system.(  ভারতীয় শিক্ষা ব্যবস্থায় অনলাইন শিক্ষা ব্যবস্থা আনা যেতে পারে )  
Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Highly disagree,Agree,Disagree,Highly agree,Agree,Agree,Highly disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Highly disagree,Disagree,Highly agree,High,Agree,Highly agree,Agree,Neither agree nor disagree
Highly disagree,Highly disagree,Highly agree,Highly disagree,Highly disagree,Highly agree,Highly disagree,Highly agree,Highly disagree,Highly agree,Highly agree,Highly disagree,Highly agree,Highly agree,Highly agree,Highly agree,Highly agree,Highly disagree,Highly disagree,Highly disagree,Highly agree,Very Low,Highly disagree,Highly agree,Highly agree,Highly disagree
Disagree,Disagree,Disagree,Disagree,Highly disagree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Highly agree,Highly agree,Disagree,Highly disagree,Agree,Disagree,Disagree,Agree,High,Disagree,Highly agree,Agree,Neither agree nor disagree
Highly disagree,Highly disagree,Highly agree,Agree,Highly disagree,Highly agree,Highly disagree,Highly agree,Highly agree,Highly agree,Agree,Highly agree,Highly agree,Highly agree,Highly agree,Highly agree,Highly agree,Highly disagree,Highly disagree,Highly disagree,Highly agree,Very High,Neither agree nor disagree,Highly agree,Highly agree,Highly agree
Disagree,Disagree,Agree,Agree,Highly disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither high nor low,Disagree,Disagree,Agree,Disagree
Disagree,Highly disagree,Highly agree,Agree,Highly disagree,Highly agree,Neither agree nor disagree,Highly agree,Neither agree nor disagree,Agree,Agree,Highly agree,Highly agree,Highly agree,Highly agree,Agree,Neither agree nor disagree,Disagree,Highly disagree,Agree,Neither agree nor disagree,Very High,Agree,Highly agree,Highly agree,Neither agree nor disagree
Highly disagree,Highly disagree,Agree,Highly agree,Highly disagree,Highly agree,Highly disagree,Highly agree,Highly agree,Highly agree,Neither agree nor disagree,Highly agree,Highly agree,Highly agree,Neither agree nor disagree,Highly disagree,Highly disagree,Highly disagree,Highly disagree,Highly disagree,Highly agree,Neither high nor low,Highly disagree,Highly agree,Highly agree,Highly disagree
Highly agree,Highly agree,Neither agree nor disagree,Neither agree nor disagree,Highly disagree,Highly agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Very High,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
Neither agree nor disagree,Disagree,Disagree,Agree,Highly disagree,Highly agree,Highly disagree,Highly agree,Highly disagree,Highly disagree,Highly agree,Neither agree nor disagree,Highly agree,Highly agree,Agree,Agree,Disagree,Disagree,Highly disagree,Highly disagree,Agree,Neither high nor low,Agree,Highly agree,Highly agree,Disagree
Disagree,Neither agree nor disagree,Disagree,Agree,Highly disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Highly disagree,Neither agree nor disagree,Highly disagree,Disagree,Disagree,High,Agree,Highly agree,Neither agree nor disagree,Disagree
Highly disagree,Disagree,Neither agree nor disagree,Agree,Highly disagree,Highly agree,Disagree,Highly agree,Agree,Agree,Agree,Agree,Highly agree,Highly agree,Agree,Neither agree nor disagree,Highly disagree,Disagree,Highly disagree,Disagree,Highly agree,Neither high nor low,Disagree,Highly agree,Highly agree,Highly disagree
Agree,Agree,Disagree,Agree,Highly disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Highly disagree,Disagree,Agree,Highly agree,Highly agree,Highly agree,Disagree,Highly agree,Highly agree,High,Highly disagree,Highly disagree,Highly disagree,Highly agree
Neither agree nor disagree,Disagree,Agree,Disagree,Highly disagree,Highly agree,Neither agree nor disagree,Highly agree,Agree,Agree,Agree,Neither agree nor disagree,Highly agree,Highly agree,Neither agree nor disagree,Agree,Highly disagree,Disagree,Neither agree nor disagree,Disagree,Agree,High,Agree,Highly agree,Highly agree,Neither agree nor disagree
Disagree,Disagree,Agree,Agree,Highly disagree,Highly agree,Disagree,Highly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Highly agree,Highly disagree,Disagree,Disagree,Highly agree,High,Agree,Highly agree,Highly agree,Highly disagree
Highly agree,Highly agree,Neither agree nor disagree,Disagree,Highly disagree,Highly disagree,Highly agree,Disagree,Highly agree,Highly disagree,Disagree,Highly disagree,Highly disagree,Highly disagree,Highly disagree,Highly agree,Highly agree,Highly agree,Highly agree,Highly agree,Highly disagree,Very High,Disagree,Disagree,Disagree,Highly agree
Disagree,Disagree,Agree,Agree,Highly disagree,Agree,Disagree,Agree,Highly agree,Highly agree,Highly agree,Highly agree,Highly agree,Highly agree,Highly agree,Agree,Highly agree,Highly disagree,Highly disagree,Disagree,Agree,low,Highly agree,Agree,Agree,Agree
Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Highly disagree,Highly agree,Agree,Highly agree,Agree,Disagree,Neither agree nor disagree,Agree,Highly agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,High,Neither agree nor disagree,Highly agree,Neither agree nor disagree,Neither agree nor disagree
Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Highly disagree,Highly agree,Highly disagree,Highly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Highly agree,Agree,Highly disagree,Disagree,Highly disagree,Disagree,Agree,Neither high nor low,Neither agree nor disagree,Highly agree,Highly agree,Agree
Disagree,Disagree,Highly agree,,Disagree,Agree,Disagree,Agree,,Agree,Agree,Highly agree,Highly agree,Highly disagree,Agree,Highly disagree,Neither agree nor disagree,,Agree,Highly agree,Disagree,low,Agree,Highly disagree,Neither agree nor disagree,Highly disagree
Disagree,Disagree,Highly agree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Highly disagree,Highly agree,Highly disagree,Agree,Highly disagree,Neither agree nor disagree,,Agree,Highly agree,Disagree,High,Disagree,Highly disagree,Neither agree nor disagree,Highly disagree
Highly disagree,Disagree,Highly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Highly agree,Agree,Agree,Highly agree,Highly agree,Highly disagree,Agree,Highly disagree,Highly disagree,Highly disagree,Agree,Highly agree,Disagree,Neither high nor low,Disagree,Highly disagree,Neither agree nor disagree,Highly disagree
Disagree,Highly agree,Highly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Highly agree,Highly agree,Highly agree,Neither agree nor disagree,Agree,Highly disagree,Neither agree nor disagree,,Agree,Highly agree,Disagree,High,Agree,Neither agree nor disagree,Disagree,Highly disagree
Disagree,Disagree,Highly agree,Agree,Disagree,Agree,Disagree,Agree,Highly disagree,Agree,Agree,Highly agree,,Highly disagree,Agree,Highly disagree,Agree,,Agree,,Disagree,low,Agree,Highly disagree,Neither agree nor disagree,Highly disagree
Highly disagree,Disagree,Highly agree,Highly disagree,Disagree,Agree,Disagree,Agree,Highly agree,Agree,Agree,Highly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Highly disagree,Highly disagree,,Agree,Highly agree,Disagree,low,Disagree,Highly disagree,Neither agree nor disagree,Highly disagree
Disagree,Neither agree nor disagree,Highly agree,Highly agree,Disagree,Agree,Highly disagree,Agree,Disagree,Agree,Agree,Highly disagree,Highly agree,Highly disagree,Agree,Highly disagree,Neither agree nor disagree,,Agree,Highly agree,Disagree,Neither high nor low,Disagree,Highly disagree,Disagree,Neither agree nor disagree
Disagree,Disagree,Highly agree,Highly disagree,Disagree,Neither agree nor disagree,Disagree,Agree,,Agree,Agree,,Highly agree,Neither agree nor disagree,Agree,Highly disagree,Neither agree nor disagree,,Agree,,Disagree,low,Disagree,Highly disagree,Neither agree nor disagree,Highly disagree
Disagree,Highly disagree,Highly agree,Highly disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Highly agree,Neither agree nor disagree,Highly disagree,Agree,Highly disagree,Neither agree nor disagree,,Agree,Highly agree,Disagree,Neither high nor low,Agree,Neither agree nor disagree,Neither agree nor disagree,Highly disagree
Disagree,Disagree,Highly agree,Disagree,Disagree,Agree,Disagree,Agree,Highly agree,Agree,Agree,Highly agree,Highly agree,Highly disagree,Agree,,Agree,,Agree,Highly agree,Disagree,High,Disagree,Highly disagree,Disagree,Highly disagree
Disagree,Disagree,Highly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Highly agree,Agree,Agree,Highly agree,Highly agree,Highly disagree,Agree,Highly disagree,Neither agree nor disagree,,Agree,Highly agree,Disagree,low,Disagree,Highly disagree,Neither agree nor disagree,Highly disagree
